epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.685,1.02316,1.74969,1.08872,0.85952,0.85527,0.89342,0.72384,0.66327,0.82553,0.95754,0.000333027,0.000333027,0.000333027
2,441.043,0.93615,0.95346,1.09006,0.88436,0.899,0.93524,0.75659,0.642,0.56188,0.95587,0.000653166,0.000653166,0.000653166
3,650.349,0.8974,0.82286,1.07875,0.8765,0.91261,0.93805,0.78172,0.58931,0.51477,0.94569,0.000960105,0.000960105,0.000960105
4,859.508,0.86633,0.75755,1.06725,0.90791,0.92277,0.94429,0.78085,0.61164,0.47443,0.93672,0.0009406,0.0009406,0.0009406
5,1064.37,0.83963,0.70402,1.05327,0.89716,0.90589,0.93226,0.78432,0.55831,0.46305,0.9303,0.0009208,0.0009208,0.0009208
6,1273.39,0.80005,0.66532,1.03611,0.91953,0.90862,0.95756,0.81975,0.53408,0.42223,0.91611,0.000901,0.000901,0.000901
7,1481.84,0.77804,0.63768,1.02534,0.91729,0.89977,0.95469,0.81722,0.52318,0.42285,0.91594,0.0008812,0.0008812,0.0008812
8,1691.4,0.7602,0.62772,1.01967,0.8778,0.94566,0.95695,0.82123,0.51727,0.40651,0.91613,0.0008614,0.0008614,0.0008614
9,1900.41,0.74357,0.60302,1.00947,0.91687,0.91162,0.96166,0.82931,0.5056,0.39024,0.91189,0.0008416,0.0008416,0.0008416
10,2109.57,0.73102,0.5831,1.00496,0.92391,0.91378,0.96239,0.83812,0.50207,0.3957,0.90027,0.0008218,0.0008218,0.0008218
11,2319.24,0.718,0.57579,0.99546,0.91926,0.91286,0.95347,0.83368,0.49181,0.37746,0.89317,0.000802,0.000802,0.000802
12,2526.7,0.71022,0.56397,0.98837,0.89416,0.93236,0.9603,0.84544,0.47452,0.37102,0.88093,0.0007822,0.0007822,0.0007822
13,2735.3,0.69706,0.5512,0.97728,0.90254,0.92037,0.95841,0.83727,0.48255,0.36488,0.88322,0.0007624,0.0007624,0.0007624
14,2944.55,0.68464,0.53728,0.96956,0.91712,0.89792,0.95151,0.83401,0.48185,0.37315,0.87935,0.0007426,0.0007426,0.0007426
15,3153.12,0.68355,0.52706,0.97221,0.8884,0.95473,0.96636,0.84785,0.47192,0.34893,0.87672,0.0007228,0.0007228,0.0007228
