epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1177.08,1.15491,1.32308,1.31055,0.86751,0.881,0.90246,0.65875,0.93652,0.78042,1.15768,0.066841,0.000166628,0.000166628
2,2275.71,1.04721,1.01482,1.27783,0.89223,0.90916,0.92509,0.75176,0.68614,0.63734,1.07165,0.0336742,0.000333214,0.000333214
3,3367.2,0.98692,0.88737,1.26599,0.82568,0.89675,0.84608,0.70354,0.60552,0.60977,1.05118,0.000507141,0.000499473,0.000499473
4,4460.41,0.9365,0.80251,1.24955,0.88292,0.92429,0.92089,0.76603,0.6494,0.5312,1.07446,0.000498902,0.000498902,0.000498902
5,5551.09,0.88556,0.74719,1.22036,0.9115,0.9049,0.93826,0.79179,0.60222,0.49369,1.04683,0.000498048,0.000498048,0.000498048
6,6641.16,0.8653,0.7316,1.21564,0.91364,0.91458,0.9455,0.79374,0.63103,0.48888,1.06726,0.000496953,0.000496953,0.000496953
7,7732.2,0.83845,0.69697,1.20231,0.92339,0.92149,0.95192,0.81094,0.57603,0.43785,1.0461,0.000495616,0.000495616,0.000495616
8,8823.16,0.81181,0.6633,1.18574,0.92038,0.91813,0.95055,0.81355,0.53073,0.42412,1.02944,0.000494039,0.000494039,0.000494039
9,9913.43,0.79459,0.64372,1.17126,0.90688,0.90899,0.95441,0.8224,0.52269,0.41924,1.01192,0.000492224,0.000492224,0.000492224
10,11018.6,0.77799,0.63126,1.16829,0.91564,0.90396,0.95578,0.82474,0.50975,0.42545,1.01085,0.000490173,0.000490173,0.000490173
11,1114.87,0.7837,0.61907,1.16801,0.63806,0.91773,0.65846,0.55922,0.50277,1.78157,1.01054,0.000487886,0.000487886,0.000487886
12,2231.77,0.74879,0.60668,1.14558,0.81627,0.8923,0.81892,0.70231,0.49104,0.61683,1.00621,0.000485368,0.000485368,0.000485368
13,3352.6,0.73491,0.58845,1.14119,0.78244,0.93262,0.81985,0.70537,0.49129,0.85924,1.01252,0.00048262,0.00048262,0.00048262
14,4471.85,0.72414,0.56564,1.13604,0.5165,0.91977,0.52795,0.4512,0.48496,4.91563,1.00003,0.000479644,0.000479644,0.000479644
15,5583.16,0.70791,0.55935,1.12516,0.54901,0.89995,0.55321,0.47604,0.48017,4.77598,1.00519,0.000476445,0.000476445,0.000476445
16,1113.08,0.70156,0.55529,1.1156,0.6036,0.90595,0.60466,0.52056,0.48493,3.16024,0.9909,0.000473024,0.000473024,0.000473024
17,2232.17,0.68159,0.54418,1.10422,0.56881,0.918,0.58103,0.5008,0.48216,4.023,1.00775,0.000469386,0.000469386,0.000469386
18,3347.7,0.67145,0.52558,1.10397,0.91204,0.90123,0.9533,0.83135,0.48387,0.37847,1.00774,0.000465534,0.000465534,0.000465534
19,4461.1,0.66413,0.51367,1.09957,0.91741,0.90387,0.94968,0.83532,0.47278,0.36192,0.99676,0.000461471,0.000461471,0.000461471
20,5578.37,0.65396,0.50102,1.09078,0.88106,0.91535,0.93929,0.82672,0.47131,0.36234,1.00102,0.000457202,0.000457202,0.000457202
21,6701.23,0.6837,0.53634,1.11031,0.91167,0.90852,0.9466,0.82671,0.47707,0.37237,1.00225,0.000452732,0.000452732,0.000452732
22,7821.68,0.6714,0.52574,1.10215,0.90519,0.93096,0.95329,0.8354,0.4757,0.34583,0.99811,0.000448063,0.000448063,0.000448063
23,8947.84,0.66931,0.51458,1.10067,0.85117,0.91668,0.88028,0.7714,0.46692,0.41698,0.99295,0.000443202,0.000443202,0.000443202
24,10069.2,0.65896,0.50763,1.09605,0.85359,0.93707,0.89863,0.788,0.46739,0.40566,0.9995,0.000438152,0.000438152,0.000438152
25,11178.1,0.65171,0.49357,1.09068,0.9361,0.8909,0.9633,0.848,0.46794,0.33929,0.99408,0.00043292,0.00043292,0.00043292
26,12287.3,0.65562,0.50546,1.08751,0.90721,0.93238,0.96606,0.85237,0.46462,0.33629,0.9969,0.000427509,0.000427509,0.000427509
27,13395.1,0.65455,0.51099,1.09326,0.91364,0.91435,0.96899,0.85325,0.47069,0.33215,0.99173,0.000421925,0.000421925,0.000421925
28,14511.5,0.6433,0.49702,1.0863,0.89419,0.93859,0.96023,0.84983,0.46369,0.33535,0.99233,0.000416175,0.000416175,0.000416175
29,1116.15,0.64982,0.48893,1.0895,0.8989,0.93258,0.96522,0.85248,0.46847,0.33801,0.99362,0.000410262,0.000410262,0.000410262
30,2213.9,0.62392,0.48046,1.07217,0.90607,0.89089,0.93057,0.82182,0.45981,0.36671,0.98929,0.000404194,0.000404194,0.000404194
31,3337.25,0.61936,0.46831,1.07133,0.90711,0.90479,0.94931,0.83925,0.45649,0.33932,0.99124,0.000397977,0.000397977,0.000397977
32,4447.73,0.61346,0.45194,1.07072,0.89526,0.93425,0.96617,0.85756,0.45336,0.31992,0.98549,0.000391616,0.000391616,0.000391616
33,1104.6,0.6072,0.4492,1.06252,0.89655,0.91239,0.94462,0.83625,0.45749,0.38011,0.98573,0.000385117,0.000385117,0.000385117
34,2214.62,0.58261,0.43958,1.04407,0.91888,0.91638,0.95388,0.84532,0.45535,0.37803,0.98595,0.000378488,0.000378488,0.000378488
35,3358.04,0.57734,0.42672,1.04098,0.88087,0.92535,0.93621,0.83012,0.45285,0.33852,0.98296,0.000371734,0.000371734,0.000371734
36,4471.49,0.5728,0.41961,1.04281,0.91995,0.91296,0.95851,0.85278,0.45317,0.31588,0.98255,0.000364863,0.000364863,0.000364863
37,5590.96,0.59666,0.44099,1.05595,0.92059,0.89829,0.94644,0.83991,0.45382,0.33325,0.98609,0.00035788,0.00035788,0.00035788
38,6708.05,0.60878,0.45587,1.06496,0.9122,0.91196,0.95297,0.84757,0.4525,0.33026,0.98632,0.000350794,0.000350794,0.000350794
39,7834.14,0.60032,0.45231,1.05478,0.89802,0.91422,0.94181,0.83448,0.44967,0.33793,0.98239,0.000343611,0.000343611,0.000343611
40,8960.31,0.59916,0.44519,1.05826,0.89912,0.9149,0.95174,0.84456,0.45171,0.31966,0.97935,0.000336338,0.000336338,0.000336338
41,10083.3,0.59386,0.43364,1.05012,0.91421,0.9104,0.96174,0.85355,0.45035,0.30608,0.98694,0.000328982,0.000328982,0.000328982
42,11221.6,0.58519,0.43081,1.05018,0.91217,0.90926,0.96126,0.85535,0.45307,0.31348,0.98449,0.00032155,0.00032155,0.00032155
43,1103.95,0.56912,0.41192,1.03506,0.92082,0.89272,0.95383,0.8471,0.45256,0.33788,0.97995,0.000314051,0.000314051,0.000314051
44,2207.51,0.54924,0.40349,1.02297,0.90154,0.91411,0.9338,0.82693,0.4504,0.36156,0.97764,0.00030649,0.00030649,0.00030649
45,3313.23,0.54538,0.39326,1.01645,0.89289,0.91303,0.94276,0.83873,0.44615,0.34418,0.9795,0.000298877,0.000298877,0.000298877
46,4423.09,0.53931,0.38531,1.019,0.8971,0.9226,0.958,0.85326,0.44608,0.31074,0.97967,0.000291218,0.000291218,0.000291218
47,5529.36,0.54817,0.39054,1.02134,0.90066,0.91057,0.94646,0.84549,0.44199,0.31667,0.97801,0.00028352,0.00028352,0.00028352
48,6635.55,0.56669,0.40806,1.03057,0.91042,0.90598,0.95725,0.85397,0.44352,0.31055,0.9748,0.000275792,0.000275792,0.000275792
49,7739.46,0.5557,0.40445,1.02005,0.92505,0.89503,0.95093,0.84806,0.44135,0.31621,0.97138,0.000268041,0.000268041,0.000268041
50,8845.63,0.55266,0.39667,1.0258,0.92665,0.89676,0.95908,0.85398,0.44411,0.30591,0.97526,0.000260274,0.000260274,0.000260274
51,9943.02,0.5458,0.39019,1.01964,0.92631,0.89975,0.96389,0.85888,0.44327,0.2948,0.97852,0.0002525,0.0002525,0.0002525
52,11037.9,0.53906,0.38322,1.02051,0.92367,0.89649,0.96489,0.86056,0.44579,0.29825,0.97927,0.000244726,0.000244726,0.000244726
53,12132.1,0.56666,0.40673,1.03275,0.93866,0.88737,0.96913,0.86471,0.44522,0.2937,0.978,0.000236959,0.000236959,0.000236959
54,13226.3,0.56391,0.41691,1.03504,0.93221,0.89723,0.96629,0.86341,0.44251,0.29147,0.97859,0.000229208,0.000229208,0.000229208
55,14330.3,0.55487,0.40436,1.03022,0.92009,0.89637,0.95869,0.85468,0.44194,0.29548,0.97824,0.00022148,0.00022148,0.00022148
56,15433,0.56692,0.41265,1.03538,0.91674,0.89605,0.94849,0.84512,0.44149,0.30944,0.97424,0.000213782,0.000213782,0.000213782
57,16531.1,0.56383,0.40629,1.03335,0.91735,0.8988,0.95258,0.85037,0.44037,0.29865,0.97222,0.000206123,0.000206123,0.000206123
58,17628.1,0.56,0.40453,1.02533,0.90964,0.90139,0.95407,0.85187,0.43769,0.29559,0.97016,0.00019851,0.00019851,0.00019851
59,18725.9,0.55202,0.40107,1.02546,0.88619,0.92187,0.9543,0.85448,0.43809,0.29691,0.9722,0.000190949,0.000190949,0.000190949
60,19823.7,0.55539,0.40928,1.02704,0.93339,0.88263,0.95871,0.85736,0.43755,0.29261,0.96915,0.00018345,0.00018345,0.00018345
61,20933.2,0.54845,0.38968,1.02034,0.91934,0.89787,0.96355,0.86252,0.43627,0.28748,0.96943,0.000176018,0.000176018,0.000176018
62,22047.3,0.54714,0.38988,1.01811,0.94165,0.88183,0.96495,0.86484,0.43442,0.28853,0.96557,0.000168662,0.000168662,0.000168662
63,23163.9,0.54484,0.38132,1.01767,0.91105,0.90441,0.9642,0.86334,0.436,0.29,0.96634,0.000161389,0.000161389,0.000161389
64,24280.1,0.54544,0.39021,1.02196,0.92891,0.88583,0.95692,0.85657,0.43668,0.29312,0.96736,0.000154206,0.000154206,0.000154206
65,25397.3,0.54254,0.37826,1.02315,0.92419,0.88659,0.95559,0.85494,0.43662,0.29647,0.97,0.00014712,0.00014712,0.00014712
66,1107.01,0.50416,0.35059,0.99561,0.9538,0.87422,0.96334,0.86398,0.43529,0.28941,0.96899,0.000140137,0.000140137,0.000140137
67,2211.54,0.48767,0.34781,0.9838,0.89907,0.92018,0.95644,0.85697,0.43672,0.29767,0.96982,0.000133266,0.000133266,0.000133266
68,3315.92,0.48393,0.33593,0.98135,0.93974,0.87935,0.95396,0.85344,0.43685,0.30745,0.97058,0.000126512,0.000126512,0.000126512
69,4418.39,0.47843,0.32819,0.9778,0.92994,0.8872,0.95542,0.85627,0.43675,0.30415,0.97121,0.000119883,0.000119883,0.000119883
70,5518.85,0.48382,0.32809,0.97941,0.93862,0.87769,0.95796,0.8592,0.4364,0.29574,0.97094,0.000113384,0.000113384,0.000113384
71,1108.06,0.45957,0.31471,0.96478,0.94344,0.87748,0.95831,0.85875,0.43671,0.29531,0.97005,0.000107023,0.000107023,0.000107023
72,1098.91,0.43953,0.2994,0.95354,0.9426,0.87574,0.95516,0.85615,0.43857,0.30245,0.97209,0.000100806,0.000100806,0.000100806
